"featureNam","pcode","featureRef","featureAlt","featureA_1","popPlaceCl","popPlace_1","admin0Name","admin0Pcod","admin1Name","admin1Pcod","admin2Name","admin2Pcod","admin3Name","admin3Pcod","date","validOn","validTo","longitude","latitude"
"Bambela","ML010101001","Bambela",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Bangassi","ML010101","2015/02/02","2015/04/24",NA,-11.57370966,14.6311046000001
"Bangassi-Doudou","ML010101002","Bangassi-Doudou",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Bangassi","ML010101","2015/02/02","2015/04/24",NA,-11.48828141,14.5385158500001
"Bangassi-Doudou-Maure","ML010101003","Bangassi-Doudou-Maure",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Bangassi","ML010101","2015/02/02","2015/04/24",NA,-11.4881114099999,14.5453866
"Bangassi-Gopela","ML010101004","Bangassi-Gopela",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Bangassi","ML010101","2015/02/02","2015/04/24",NA,-11.50805091,14.4839506000001
"Bangassi-Liberte","ML010101005","Bangassi-Liberte",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Bangassi","ML010101","2015/02/02","2015/04/24",NA,-11.5088009099999,14.4903113500001
"Bangassi Maure","ML010101006","Bangassi Maure",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Bangassi","ML010101","2015/02/02","2015/04/24",NA,-11.4726716599999,14.5570376000001
"Bangassi-Nango","ML010101007","Bangassi-Nango",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Bangassi","ML010101","2015/02/02","2015/04/24",NA,-11.50744078,14.49187147
"Diakalel","ML010101008","Diakalel",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Bangassi","ML010101","2015/02/02","2015/04/24",NA,-11.45754203,14.45942847
"Djiguidian-Gopela","ML010101009","Djiguidian-Gopela",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Bangassi","ML010101","2015/02/02","2015/04/24",NA,-11.48263141,14.4722496000001
"Djiguidian-Peulhs","ML010101010","Djiguidian-Peulhs",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Bangassi","ML010101","2015/02/02","2015/04/24",NA,-11.48092141,14.4765301
"Guemou","ML010101011","Guemou",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Bangassi","ML010101","2015/02/02","2015/04/24",NA,-11.5832594099999,14.6106626000001
"Madinel","ML010101012","Madinel",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Bangassi","ML010101","2015/02/02","2015/04/24",NA,-11.5261104099999,14.48548085
"Segue-Maure","ML010101013","Segue-Maure",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Bangassi","ML010101","2015/02/02","2015/04/24",NA,-11.40461303,14.5024626000001
"Sinthiane","ML010101014","Sinthiane",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Bangassi","ML010101","2015/02/02","2015/04/24",NA,-11.4619719099999,14.49162147
"Bangassi","ML010101000","Bangassi",NA,NA,4,"Admin3 Capital","Mali","ML","Kayes","ML01","Kayes","ML0101","Bangassi","ML010101","2015/02/02","2015/04/24",NA,-11.48750015,14.5405559700001
"Diabougou","ML010102001","Diabougou",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Colimbine","ML010102","2015/02/02","2015/04/24",NA,-11.2818456599999,14.4372066
"Dialane","ML010102002","Dialane",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Colimbine","ML010102","2015/02/02","2015/04/24",NA,-11.1725981599999,14.5328657200001
"Gamera","ML010102003","Gamera",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Colimbine","ML010102","2015/02/02","2015/04/24",NA,-11.10178953,14.4679597200001
"Kabate","ML010102004","Kabate",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Colimbine","ML010102","2015/02/02","2015/04/24",NA,-11.21114728,14.5089333500001
"Kanamakounou","ML010102005","Kanamakounou",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Colimbine","ML010102","2015/02/02","2015/04/24",NA,-11.1970175299999,14.44533735
"Segouroume","ML010102006","Segouroume",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Colimbine","ML010102","2015/02/02","2015/04/24",NA,-11.1997174099999,14.41346435
"Kouroukoula","ML010102007","Kouroukoula",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Colimbine","ML010102","2015/02/02","2015/04/24",NA,-11.22452691,14.4606388500001
"Tafacirga","ML010102008","Tafacirga",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Colimbine","ML010102","2015/02/02","2015/04/24",NA,-11.12014928,14.48199085
"Dioumou","ML010102009","Dioumou",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Colimbine","ML010102","2015/02/02","2015/04/24",NA,-11.1238791599999,14.4188249700001
"Takoutalla","ML010102010","Takoutalla",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Colimbine","ML010102","2015/02/02","2015/04/24",NA,-11.2554962799999,14.4500577200001
"Wahiguilou","ML010102011","Wahiguilou",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Colimbine","ML010102","2015/02/02","2015/04/24",NA,-11.2920655299999,14.4596986
"Kabaté","ML010102000","Kabate",NA,NA,4,"Admin3 Capital","Mali","ML","Kayes","ML01","Kayes","ML0101","Colimbine","ML010102","2015/02/02","2015/04/24",NA,-11.2111474,14.50893347
"Bagouko","ML010103001","Bagouko",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.21403666,13.9875139700001
"Balandougou","ML010103002","Balandougou",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.2435460299999,14.1247869700001
"Bangassi","ML010103003","Bangassi",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.22995666,14.1972238500001
"Bouroukoun","ML010103004","Bouroukoun",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.22384641,14.02955797
"Diadieya","ML010103005","Diadieya",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.05603028,14.2511191
"Diamou","ML010103006","Diamou",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.2613257799999,14.08576322
"Tounremoussoya","ML010103007","Tounremoussoya",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.2509459099999,14.0652913500001
"Dinguira-Almamya","ML010103008","Dinguira-Almamya",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.2394862799999,14.17066135
"Douroun","ML010103009","Douroun",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.12215866,14.0759524700001
"Drameko","ML010103010","Drameko",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.04127041,14.1147762200001
"Fanga","ML010103011","Fanga",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.22763666,14.21319535
"Foukara Rive Gauche","ML010103012","Foukara Rive Gauche",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.07438966,13.9605614700001
"Tambafara","ML010103013","Tambafara",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.11333866,13.93191885
"Foukara-Ile","ML010103014","Foukara-Ile",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.07071966,13.95768135
